Algorithm,Preprocessing,Clusters,Silhouette Score,Calinski-Harabasz,Davies-Bouldin
K-Means,Original,3,0.551191604619592,561.5937320156642,0.6660385791628493
K-Means,Original,4,0.49764331793219224,529.5290949944819,0.7541404230958464
K-Means,Original,5,0.4930804067193521,495.24341371472735,0.8193844948350408
K-Means,Normalized,3,0.4798814508199817,157.36015312192248,0.7893630242997912
K-Means,Normalized,4,0.3850454053045392,206.68060327399542,0.8697790001760977
K-Means,Normalized,5,0.34503345350274617,202.63584981074288,0.9438937421182807
K-Means,PCA,3,0.5976764219547994,693.7084334188484,0.5648157434964123
K-Means,PCA,4,0.5577409232246785,719.1235440488664,0.6150686747805234
K-Means,PCA,5,0.5100407194899201,642.0606658009178,0.7525002644783108
K-Means,Normalized + PCA,3,0.5227910941742375,180.97545995800132,0.7391260626029995
K-Means,Normalized + PCA,4,0.44518709742154233,263.88404534660157,0.7446689889268587
K-Means,Normalized + PCA,5,0.41108506287108576,278.4513952839226,0.7802925992541692
Hierarchical,Original,3,0.5543236611296419,558.0580408128305,0.6562564540642021
Hierarchical,Original,4,0.4889670857554692,515.0789062430442,0.7952637917518273
Hierarchical,Original,5,0.48438258927905953,488.48490403651624,0.8204166609646473
Hierarchical,Normalized,3,0.4466890410285909,222.71916382215363,0.8034665302876755
Hierarchical,Normalized,4,0.4006363159855973,201.2514543140406,0.9788214982592804
Hierarchical,Normalized,5,0.33058726295230545,192.6812827176413,0.9742492313121824
Hierarchical,PCA,3,0.5984750353705444,688.6175478020382,0.5604962418488765
Hierarchical,PCA,4,0.5409772344736492,673.9462643465888,0.6546236191154553
Hierarchical,PCA,5,0.5487843719847738,665.8831120635571,0.6525734875175679
Hierarchical,Normalized + PCA,3,0.5110595988766189,286.32866402202336,0.7054295488547574
Hierarchical,Normalized + PCA,4,0.4487350420958893,254.09009362811258,0.7226122812847583
Hierarchical,Normalized + PCA,5,0.4041689631006268,254.99619590904928,0.7912503236414692
Mean-Shift,Original,2,0.6857881712617192,509.7034266772457,0.3885516762710371
Mean-Shift,Normalized,4,0.358474268303,133.42016048318374,0.7759376080214601
Mean-Shift,PCA,3,0.5623917783916729,614.8005636743782,0.5579147473066947
Mean-Shift,Normalized + PCA,4,0.4037682238020833,152.6137878490253,0.5963647264953793
